4664.6,10303
4664.6,10303
4641.7,10281
4632.3,10277
4632.5,10258
4614.3,10259
4611.5,10222
4606,10214
4605.8,10196
4607.3,10197
4591.3,10208
4594.6,10172
4604.5,10175
4609.5,10191
4609.3,10209
4595.5,10224
4592.7,10196
4601.4,10189
4617,10213
4624.4,10250
4606.9,10268
4600.7,10232
4596.5,10214
4596.5,10210
4596.5,10210
4561.7,10148
4559.3,10155
4552.9,10154
4549.6,10143
4543.6,10138
4534.9,10122
4526,10104
4533.6,10091
4537.5,10105
4526.6,10122
4529.2,10122
4536.1,10131
4523,10147
4520.8,10114
4540.9,10116
4536.1,10168
4550.8,10167
4549.8,10204
4540.8,10200
4537,10168
4518.1,10166
4518.1,10132
4518.1,10132
4549.1,10140
4553.6,10169
4549.3,10168
4545.2,10166
4540.5,10160
4539.2,10138
4538.6,10140
4537.6,10145
4539.2,10142
4544.3,10142
4546.3,10149
4547.7,10162
4542.7,10168
4548.8,10149
4548.8,10152
4568.4,10155
4575.6,10184
4588.9,10187
4583.8,10237
4577.8,10231
4569.4,10209
4569.4,10188
4569.4,10188
4365.5,9506.1
4369.5,9512.4
4358.8,9521.1
4354.4,9503.6
4353.8,9495.7
4356.4,9488.5
4358.8,9489.8
4372.1,9486.3
4366.3,9514.4
4369.5,9499.5
4358.8,9496.7
4350.6,9482.9
4321.4,9461.4
4339.8,9390.8
4343.5,9435.2
4361.7,9443.8
4353.6,9490.9
4362.9,9474
4358.4,9488.2
4353.6,9484.4
4343.7,9461.7
4343.7,9450.4
4343.7,9450.4
4600.3,9762
4602.9,9768.3
4611.9,9758.5
4608.7,9780.6
4604.2,9787.6
4611.5,9775.6
4609.7,9793.7
4605.2,9795.8
4612.8,9789.6
4613.1,9806.5
4618.4,9817.5
4614.5,9825.1
4624.9,9824.4
4620.5,9834.3
4625.9,9832.6
4627.4,9834.9
4619.5,9832.4
4617,9819
4615.3,9819.1
4608.5,9810
4616.9,9801.3
4616.9,9814.8
4616.9,9814.8
4647.1,9849.9
4637.3,9887.9
4629.1,9862.5
4623.8,9839.2
4622.4,9840.8
4635.2,9828.1
4636.9,9851.6
4636.2,9853.3
4642.9,9846.8
4654.7,9869.3
4647.7,9894.6
4650.4,9878.8
4667.8,9882.5
4684,9913.4
4673.2,9953.5
4658.9,9933.9
4666.8,9900.7
4661.2,9923.6
4667.7,9899.9
4670.3,9910.6
4660.6,9921.4
4660.6,9902.8
4660.6,9902.8
4685,9984
4685.4,9984.6
4690.9,9983.6
4696.4,10001
4696.6,10016
4694.6,10023
4692.2,10012
4701.7,10010
4702.1,10023
4697.1,10027
4706.2,10015
4704.6,10024
4714.1,10032
4719.5,10045
4727.1,10080
4722.1,10085
4697.1,10071
4697.7,10028
4669.4,10027
4658.2,9980.8
4667.3,9948.8
4667.3,9970.4
4667.3,9970.4
4658.5,9976
4664.4,9966.4
4666.5,9977.3
4665.4,9980
4666.7,9981.1
4670.4,9987.4
4665.3,9994.7
4664.1,9984.3
4662.1,9988.6
4656.9,9988.2
4661.8,9974.6
4666.3,9984.6
4669.6,9990.1
4674.4,9985.9
4676.7,9998.4
4665.5,9997.7
4672.8,9979.2
4667.9,9990.5
4669.8,9982.8
4681,9982
4675.9,10000
4675.9,9993.1
4675.9,9993.1
4624.2,10017
4622.6,10006
4627.3,10005
4628.9,10016
4625.3,10012
4615.6,9996
4623.7,9980.9
4615.4,9987.5
4615.5,9958.9
4608.9,9960.7
4606.8,9949.1
4606.9,9953.3
4622.1,9953
4629.5,9987.2
4638.9,9997
4651.2,10014
4648.8,10036
4654.9,10039
4644.8,10069
4638,10043
4643.4,10023
4643.4,10033
4643.4,10033
4616,9939.6
4617.7,9947.9
4623.8,9954.3
4630.7,9965.1
4629,9984.9
4637,9979.3
4644,9985.5
4643.1,10003
4632.3,10003
4622.5,9974.1
4615.5,9950.7
4626.1,9950.6
4646.8,9973.7
4655.7,10013
4650.3,10030
4632.3,10018
4615.1,9972.2
4616.4,9941.5
4614.6,9928.9
4619.6,9919.9
4609,9928.5
4609,9915.9
4609,9915.9
4674.1,10054
4673,10071
4664.4,10068
4672.8,10053
4659.9,10077
4661.9,10066
4662.9,10068
4667.8,10069
4658.6,10075
4668,10043
4659.3,10063
4660.8,10049
4671.1,10052
4667.9,10061
4672.4,10061
4664.9,10070
4672.2,10060
4680.8,10067
4674,10071
4677.4,10050
4675.3,10064
4675.3,10065
4675.3,10065
4718.6,10195
4714.4,10192
4706.8,10182
4709,10162
