52.43,35.23,36.83,9049.3,9109.4,1581.6,2926.7,2940.8,3905.2,827.91
53.92,36.31,37.31,8936.4,8984.3,1581.6,2813.3,2861,3880.3,818.95
56.83,37.37,39.46,9027.5,9051.4,1581.6,2714.6,2765.9,3813.8,800.58
58.25,38.76,42.64,8688,8931.4,1581.6,2667.4,2733.6,3780.9,785.28
58.13,38.54,41.02,8708.9,8977.4,1563,2622.1,2694.2,3730.5,798.55
56.2,40.84,42.13,8539.3,8977.4,1535.4,2597.9,2656.4,3742.4,776.76
51.59,40.32,37.55,8439.6,8858.7,1530.4,2733.2,2758.5,3777.3,803.92
48.28,39.23,35.7,8529.6,8965.7,1524.1,2930.7,2902.3,3953.4,835.32
46.84,38.26,34.02,8836.7,9336.4,1524.7,3048.3,3086,4130.3,881.27
48.12,38.29,36,8884.9,9459.1,1537.4,3008.9,3067.7,4057.7,860.02
47.91,37.41,34.1,8959.9,9576.1,1513.1,3172.5,3183.1,4170.7,879.2
47.58,35.56,33.53,9086.1,9613.1,1519.5,3163.7,3157,4130.5,884.39
46.36,37.02,33.11,8978.4,9570.4,1524.9,3282.7,3156.9,4133.8,899.72
47.47,38.51,34.09,8689.4,9548.9,1548.1,3156,3121,4118.9,890.16
49.11,37.89,33.2,8714.5,9804.6,1549,3015.4,2992.2,4006.9,896.14
47.71,36.96,34.03,8614.3,9787.5,1536.5,3090,3075.1,4103.7,882.5
46.76,36.79,30,8726.3,9722.5,1520.3,3102,3056.9,4051.1,897.65
45.37,36.84,31.07,8757.5,9853.7,1502.7,3199,3120.8,4090.5,890.23
47.88,37.16,32.27,8708.8,9634.7,1510.9,3022,2965.1,3935.9,882.15
45.99,37.09,31.23,8756.6,9560.5,1509.7,3113.6,3084.2,4002.7,890.71
44.34,34.84,31.14,8640.5,9441.2,1507.5,3152.8,3150,4039.7,885.76
44.93,38.23,29.3,8685.7,9407.7,1510.8,3165.2,3109.5,3997,900.96
42.65,32.71,31.23,8937.6,9655.4,1558.2,3351.3,3247.4,4146.1,915.39
44.16,33.54,30.73,8953.3,9774,1552.6,3298.8,3212.9,4103.7,923.76
46.48,30.13,31.42,8920.4,9844.4,1554.2,3155.7,3111.7,4081.3,902.65
47.02,30.96,29.41,8690.8,9770.7,1522.2,3079.1,3058.2,4034.6,894.74
47.31,33.07,31.3,8460.4,9580.9,1504.4,3042.1,3053.7,4015.6,876.19
46.02,32.43,30.58,8464.8,9613.8,1485.9,3115.9,3064.6,4085,882.95
45.6,32.15,31.24,8438.5,9616.6,1490.5,3066.4,3034.8,4029.4,882.53
43.16,32.01,28.67,8303.4,9740.8,1460.8,3188.4,3148.6,4053.1,904.27
41.23,30.34,26.65,8503.6,9865.6,1463.7,3191.8,3162.4,4091.6,909.83
40.51,31.25,27.66,8346,9920.1,1451.3,3218.4,3208.5,4116,900.36
39.61,30.91,27.41,8365.3,9965,1462.2,3206.9,3177.2,4096.5,896.74
39.38,30.69,25.32,8459.6,9971.1,1425.8,3213,3153.5,4094.9,914.15
36.96,29.08,23.81,8668.1,10004,1390.6,3304.6,3290.2,4190,933.76
34.63,28.58,23.16,8772.6,10065,1395.5,3320.9,3305.8,4175.2,930.55
34.77,28.1,24.07,8944.4,10101,1398.4,3299.2,3295.7,4122.2,932.87
35.67,28.71,25.97,8824,9995.5,1371.2,3191.6,3215.2,4071,913.31
33.34,28.84,27.25,8875.9,9944.6,1378.8,3346.1,3313.8,4144.2,938.87
33.47,28,27.5,9215.6,10070,1434.2,3320.3,3326.7,4169.4,936.31
